OCC2010	OccGroup	Occupation
3910	PROTECTIVE SERVICE	Private Detectives and Investigators
3930	PROTECTIVE SERVICE	Security Guards and Gaming Surveillance Officers
3940	PROTECTIVE SERVICE	Crossing Guards
3950	PROTECTIVE SERVICE	Law enforcement workers, nec
4000	FOOD PREPARATION AND SERVING	Chefs and Cooks
4010	FOOD PREPARATION AND SERVING	First-Line Supervisors of Food Preparation and Serving Workers
4030	FOOD PREPARATION AND SERVING	Food Preparation Workers
4040	FOOD PREPARATION AND SERVING	Bartenders
4050	FOOD PREPARATION AND SERVING	Combined Food Preparation and Serving Workers, Including Fast Food
4060	FOOD PREPARATION AND SERVING	Counter Attendant, Cafeteria, Food Concession, and Coffee Shop
4110	FOOD PREPARATION AND SERVING	Waiters and Waitresses
4120	FOOD PREPARATION AND SERVING	Food Servers, Nonrestaurant
4130	FOOD PREPARATION AND SERVING	Food preparation and serving related workers, nec
4140	FOOD PREPARATION AND SERVING	Dishwashers
4150	FOOD PREPARATION AND SERVING	Host and Hostesses, Restaurant, Lounge, and Coffee Shop
4200	BUILDING AND GROUNDS CLEANING AND MAINTENANCE	First-Line Supervisors of Housekeeping and Janitorial Workers
4210	BUILDING AND GROUNDS CLEANING AND MAINTENANCE	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
4220	BUILDING AND GROUNDS CLEANING AND MAINTENANCE	Janitors and Building Cleaners
4230	BUILDING AND GROUNDS CLEANING AND MAINTENANCE	Maids and Housekeeping Cleaners
4240	BUILDING AND GROUNDS CLEANING AND MAINTENANCE	Pest Control Workers
4250	BUILDING AND GROUNDS CLEANING AND MAINTENANCE	Grounds Maintenance Workers
4300	PERSONAL CARE AND SERVICE	First-Line Supervisors of Gaming Workers
4320	PERSONAL CARE AND SERVICE	First-Line Supervisors of Personal Service Workers
4340	PERSONAL CARE AND SERVICE	Animal Trainers
4350	PERSONAL CARE AND SERVICE	Nonfarm Animal Caretakers
4400	PERSONAL CARE AND SERVICE	Gaming Services Workers
4420	PERSONAL CARE AND SERVICE	Ushers, Lobby Attendants, and Ticket Takers
4430	PERSONAL CARE AND SERVICE	Entertainment Attendants and Related Workers, nec
4460	PERSONAL CARE AND SERVICE	Funeral Service Workers and Embalmers
4500	PERSONAL CARE AND SERVICE	Barbers
4510	PERSONAL CARE AND SERVICE	Hairdressers, Hairstylists, and Cosmetologists
4520	PERSONAL CARE AND SERVICE	Personal Appearance Workers, nec
4530	PERSONAL CARE AND SERVICE	Baggage Porters, Bellhops, and Concierges
4540	PERSONAL CARE AND SERVICE	Tour and Travel Guides
4600	PERSONAL CARE AND SERVICE	Childcare Workers
4610	PERSONAL CARE AND SERVICE	Personal Care Aides
4620	PERSONAL CARE AND SERVICE	Recreation and Fitness Workers
4640	PERSONAL CARE AND SERVICE	Residential Advisors
4650	PERSONAL CARE AND SERVICE	Personal Care and Service Workers, All Other
4700	SALES AND RELATED	First-Line Supervisors of Sales Workers
4720	SALES AND RELATED	Cashiers
4740	SALES AND RELATED	Counter and Rental Clerks
4750	SALES AND RELATED	Parts Salespersons
4760	SALES AND RELATED	Retail Salespersons
4800	SALES AND RELATED	Advertising Sales Agents
4810	SALES AND RELATED	Insurance Sales Agents
4820	SALES AND RELATED	Securities, Commodities, and Financial Services Sales Agents
4830	SALES AND RELATED	Travel Agents
4840	SALES AND RELATED	Sales Representatives, Services, All Other
4850	SALES AND RELATED	Sales Representatives, Wholesale and Manufacturing
4900	SALES AND RELATED	Models, Demonstrators, and Product Promoters
4920	SALES AND RELATED	Real Estate Brokers and Sales Agents
4930	SALES AND RELATED	Sales Engineers
4940	SALES AND RELATED	Telemarketers
4950	SALES AND RELATED	Door-to-Door Sales Workers, News and Street Vendors, and Related Workers
4965	SALES AND RELATED	Sales and Related Workers, All Other
5000	OFFICE AND ADMINISTRATIVE SUPPORT	First-Line Supervisors of Office and Administrative Support Workers
5010	OFFICE AND ADMINISTRATIVE SUPPORT	Switchboard Operators, Including Answering Service
5020	OFFICE AND ADMINISTRATIVE SUPPORT	Telephone Operators
5030	OFFICE AND ADMINISTRATIVE SUPPORT	Communications Equipment Operators, All Other
5100	OFFICE AND ADMINISTRATIVE SUPPORT	Bill and Account Collectors
5110	OFFICE AND ADMINISTRATIVE SUPPORT	Billing and Posting Clerks
5120	OFFICE AND ADMINISTRATIVE SUPPORT	Bookkeeping, Accounting, and Auditing Clerks
5130	OFFICE AND ADMINISTRATIVE SUPPORT	Gaming Cage Workers
5140	OFFICE AND ADMINISTRATIVE SUPPORT	Payroll and Timekeeping Clerks
5150	OFFICE AND ADMINISTRATIVE SUPPORT	Procurement Clerks
5160	OFFICE AND ADMINISTRATIVE SUPPORT	Bank Tellers
5165	OFFICE AND ADMINISTRATIVE SUPPORT	Financial Clerks, nec
5200	OFFICE AND ADMINISTRATIVE SUPPORT	Brokerage Clerks
5220	OFFICE AND ADMINISTRATIVE SUPPORT	Court, Municipal, and License Clerks
5230	OFFICE AND ADMINISTRATIVE SUPPORT	Credit Authorizers, Checkers, and Clerks
5240	OFFICE AND ADMINISTRATIVE SUPPORT	Customer Service Representatives
5250	OFFICE AND ADMINISTRATIVE SUPPORT	Eligibility Interviewers, Government Programs
5260	OFFICE AND ADMINISTRATIVE SUPPORT	File Clerks
5300	OFFICE AND ADMINISTRATIVE SUPPORT	Hotel, Motel, and Resort Desk Clerks
5310	OFFICE AND ADMINISTRATIVE SUPPORT	Interviewers, Except Eligibility and Loan
5320	OFFICE AND ADMINISTRATIVE SUPPORT	Library Assistants, Clerical
5330	OFFICE AND ADMINISTRATIVE SUPPORT	Loan Interviewers and Clerks
5340	OFFICE AND ADMINISTRATIVE SUPPORT	New Account Clerks
5350	OFFICE AND ADMINISTRATIVE SUPPORT	Correspondent clerks and order clerks
5360	OFFICE AND ADMINISTRATIVE SUPPORT	Human Resources Assistants, Except Payroll and Timekeeping
5400	OFFICE AND ADMINISTRATIVE SUPPORT	Receptionists and Information Clerks
5410	OFFICE AND ADMINISTRATIVE SUPPORT	Reservation and Transportation Ticket Agents and Travel Clerks
5420	OFFICE AND ADMINISTRATIVE SUPPORT	Information and Record Clerks, All Other
5500	OFFICE AND ADMINISTRATIVE SUPPORT	Cargo and Freight Agents
5510	OFFICE AND ADMINISTRATIVE SUPPORT	Couriers and Messengers
5520	OFFICE AND ADMINISTRATIVE SUPPORT	Dispatchers
5530	OFFICE AND ADMINISTRATIVE SUPPORT	Meter Readers, Utilities
5540	OFFICE AND ADMINISTRATIVE SUPPORT	Postal Service Clerks
5550	OFFICE AND ADMINISTRATIVE SUPPORT	Postal Service Mail Carriers
5560	OFFICE AND ADMINISTRATIVE SUPPORT	Postal Service Mail Sorters, Processors, and Processing Machine Operators
5600	OFFICE AND ADMINISTRATIVE SUPPORT	Production, Planning, and Expediting Clerks
5610	OFFICE AND ADMINISTRATIVE SUPPORT	Shipping, Receiving, and Traffic Clerks
5620	OFFICE AND ADMINISTRATIVE SUPPORT	Stock Clerks and Order Fillers
5630	OFFICE AND ADMINISTRATIVE SUPPORT	Weighers, Measurers, Checkers, and Samplers, Recordkeeping
5700	OFFICE AND ADMINISTRATIVE SUPPORT	Secretaries and Administrative Assistants
5800	OFFICE AND ADMINISTRATIVE SUPPORT	Computer Operators
5810	OFFICE AND ADMINISTRATIVE SUPPORT	Data Entry Keyers
5820	OFFICE AND ADMINISTRATIVE SUPPORT	Word Processors and Typists
5840	OFFICE AND ADMINISTRATIVE SUPPORT	Insurance Claims and Policy Processing Clerks
5850	OFFICE AND ADMINISTRATIVE SUPPORT	Mail Clerks and Mail Machine Operators, Except Postal Service
5860	OFFICE AND ADMINISTRATIVE SUPPORT	Office Clerks, General
5900	OFFICE AND ADMINISTRATIVE SUPPORT	Office Machine Operators, Except Computer
5910	OFFICE AND ADMINISTRATIVE SUPPORT	Proofreaders and Copy Markers
