IND1990	IndGroup	IndustryTitle
893	PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES	Miscellaneous professional and related services
900	PUBLIC ADMINISTRATION	Executive and legislative offices
901	PUBLIC ADMINISTRATION	General government, n.e.c.
910	PUBLIC ADMINISTRATION	Justice, public order, and safety
921	PUBLIC ADMINISTRATION	Public finance, taxation, and monetary policy
922	PUBLIC ADMINISTRATION	Administration of human resources programs
930	PUBLIC ADMINISTRATION	Administration of environmental quality and housing programs
931	PUBLIC ADMINISTRATION	Administration of economic programs
932	PUBLIC ADMINISTRATION	National security and international affairs
940	MILITARY	Army
941	MILITARY	Air Force
942	MILITARY	Navy
950	MILITARY	Marines
951	MILITARY	Coast Guard
952	MILITARY	Armed Forces, branch not specified
960	MILITARY	Military Reserves or National Guard
